date_date,orders_id,news,turnover,session_id
2021-08-14,960266,0,56.39,10861999537963527151628949218
2021-08-14,960242,0,45.73,52461778192492518811628947347
2021-08-14,960003,0,49.66,68314289623371979891628918633
2021-08-14,960149,1,66.58,76753868765824515311628941464
2021-08-14,960034,1,10.55,5759950935780583831628926111
2021-08-14,960059,1,89.73,67626368534202249711628927949
2021-08-14,960327,0,27.3,75223786907662967301628952212
2021-08-14,960278,0,110.43,77786274734166273901628951448
2021-08-14,960294,0,64.92,16578267032283181791628952455
2021-08-14,960420,0,76.62,18484191840929462351628969592
2021-08-14,960135,0,84.69,41705832193755002101628938654
2021-08-14,960117,0,66.01,52637083982862489191628937178
2021-08-14,960214,1,45.11,183527318450290620481628943390
2021-08-14,960456,0,83.43,19944180718308047071628977382
2021-08-14,960284,1,22.78,33889804752346042121628951735
2021-08-14,960144,0,0.0,75729775716313926501628941287
2021-08-14,960022,0,39.43,81234490043803496301628923411
2021-08-14,960428,0,34.2,34139166730995440791628972624
2021-08-14,960217,0,14.3,79311438580115929021628946739
2021-08-14,960161,1,99.98,8003255733651809641628940841
2021-08-14,960441,0,48.22,81110421366474118531628974496
2021-08-14,960125,1,19.87,90106759464966959791628937904
2021-08-14,960222,0,37.87,45179687384409314251628947161
2021-08-14,960397,1,140.55,55525231176152266051628966628
2021-08-14,960165,1,66.14,3599492019781431281628942929
2021-08-14,960066,0,106.19,49384830979849640601628928747
2021-08-14,960429,0,135.12,174283183802169535121628970495
2021-08-14,960092,0,46.91,55615090739681960611628933498
2021-08-14,960079,1,165.11,59620447703735677611628931355
2021-08-14,960126,1,47.37,28274600973827846621628937881
2021-08-14,960094,0,132.36,38454998419732148651628932344
2021-08-14,960457,1,,
2021-08-14,960455,1,,
2021-08-14,960454,1,,
2021-08-14,960451,1,,
2021-08-14,960448,0,,
2021-08-14,960446,0,,
2021-08-14,960445,1,,
2021-08-14,960444,0,,
2021-08-14,960442,1,,
2021-08-14,960439,1,,
2021-08-14,960438,1,,
2021-08-14,960435,0,,
2021-08-14,960434,1,,
2021-08-14,960433,1,,
2021-08-14,960432,0,,
2021-08-14,960431,0,,
2021-08-14,960427,0,,
2021-08-14,960426,0,,
2021-08-14,960425,0,,
2021-08-14,960424,0,,
2021-08-14,960422,0,,
2021-08-14,960421,0,,
2021-08-14,960416,1,,
2021-08-14,960414,1,,
2021-08-14,960411,0,,
2021-08-14,960403,1,,
2021-08-14,960401,1,,
2021-08-14,960400,0,,
2021-08-14,960394,0,,
2021-08-14,960391,0,,
2021-08-14,960390,0,,
2021-08-14,960388,0,,
2021-08-14,960387,0,,
2021-08-14,960385,1,,
2021-08-14,960381,1,,
2021-08-14,960379,0,,
2021-08-14,960377,0,,
2021-08-14,960374,1,,
2021-08-14,960373,0,,
2021-08-14,960372,0,,
2021-08-14,960371,1,,
2021-08-14,960369,0,,
2021-08-14,960367,1,,
2021-08-14,960363,0,,
2021-08-14,960360,0,,
2021-08-14,960359,1,,
2021-08-14,960357,0,,
2021-08-14,960355,0,,
2021-08-14,960350,1,,
2021-08-14,960349,1,,
2021-08-14,960346,1,,
2021-08-14,960345,1,,
2021-08-14,960343,0,,
2021-08-14,960340,0,,
2021-08-14,960338,0,,
2021-08-14,960332,0,,
2021-08-14,960330,0,,
2021-08-14,960325,0,,
2021-08-14,960322,1,,
2021-08-14,960321,0,,
2021-08-14,960319,1,,
2021-08-14,960318,1,,
2021-08-14,960317,0,,
2021-08-14,960315,0,,
2021-08-14,960312,0,,
2021-08-14,960310,0,,
2021-08-14,960309,1,,
2021-08-14,960307,0,,
2021-08-14,960303,0,,
2021-08-14,960302,0,,
2021-08-14,960301,0,,
2021-08-14,960297,0,,
2021-08-14,960295,0,,
2021-08-14,960292,1,,
2021-08-14,960288,1,,
2021-08-14,960286,0,,
2021-08-14,960280,0,,
2021-08-14,960279,0,,
2021-08-14,960273,0,,
2021-08-14,960271,1,,
2021-08-14,960270,0,,
2021-08-14,960268,1,,
2021-08-14,960267,0,,
2021-08-14,960265,0,,
2021-08-14,960263,0,,
2021-08-14,960262,1,,
2021-08-14,960261,1,,
2021-08-14,960259,1,,
2021-08-14,960252,0,,
2021-08-14,960250,0,,
2021-08-14,960246,0,,
2021-08-14,960245,1,,
2021-08-14,960244,0,,
2021-08-14,960238,1,,
2021-08-14,960235,1,,
2021-08-14,960234,0,,
2021-08-14,960231,0,,
2021-08-14,960230,0,,
2021-08-14,960228,1,,
2021-08-14,960226,1,,
2021-08-14,960224,1,,
2021-08-14,960223,1,,
2021-08-14,960215,1,,
2021-08-14,960213,0,,
2021-08-14,960212,0,,
2021-08-14,960210,0,,
2021-08-14,960208,0,,
2021-08-14,960200,1,,
2021-08-14,960199,0,,
2021-08-14,960198,1,,
2021-08-14,960197,1,,
2021-08-14,960192,1,,
2021-08-14,960188,1,,
2021-08-14,960182,0,,
2021-08-14,960181,1,,
2021-08-14,960179,0,,
2021-08-14,960173,0,,
2021-08-14,960171,0,,
2021-08-14,960170,1,,
2021-08-14,960164,0,,
2021-08-14,960163,0,,
2021-08-14,960159,1,,
2021-08-14,960157,1,,
2021-08-14,960154,0,,
2021-08-14,960153,0,,
2021-08-14,960152,1,,
2021-08-14,960148,1,,
2021-08-14,960146,0,,
2021-08-14,960145,1,,
2021-08-14,960141,1,,
2021-08-14,960140,1,,
2021-08-14,960139,0,,
2021-08-14,960138,0,,
2021-08-14,960136,1,,
2021-08-14,960130,0,,
2021-08-14,960128,0,,
2021-08-14,960123,0,,
2021-08-14,960122,1,,
2021-08-14,960121,1,,
2021-08-14,960120,1,,
2021-08-14,960118,0,,
2021-08-14,960111,0,,
2021-08-14,960110,1,,
2021-08-14,960108,1,,
2021-08-14,960105,0,,
2021-08-14,960104,1,,
2021-08-14,960103,1,,
2021-08-14,960102,0,,
2021-08-14,960101,0,,
2021-08-14,960100,0,,
2021-08-14,960099,0,,
2021-08-14,960098,1,,
2021-08-14,960096,1,,
2021-08-14,960095,0,,
2021-08-14,960088,1,,
2021-08-14,960086,0,,
2021-08-14,960085,1,,
2021-08-14,960084,1,,
2021-08-14,960083,1,,
2021-08-14,960081,1,,
2021-08-14,960080,0,,
2021-08-14,960078,1,,
2021-08-14,960077,0,,
2021-08-14,960073,0,,
2021-08-14,960069,0,,
2021-08-14,960068,1,,
2021-08-14,960067,0,,
2021-08-14,960065,0,,
2021-08-14,960063,1,,
2021-08-14,960061,0,,
2021-08-14,960054,0,,
2021-08-14,960053,0,,
2021-08-14,960052,1,,
2021-08-14,960051,1,,
2021-08-14,960050,0,,
2021-08-14,960049,1,,
2021-08-14,960047,1,,
2021-08-14,960045,0,,
2021-08-14,960044,0,,
2021-08-14,960043,0,,
2021-08-14,960042,1,,
2021-08-14,960041,1,,
2021-08-14,960040,1,,
2021-08-14,960038,0,,
2021-08-14,960037,1,,
2021-08-14,960036,0,,
2021-08-14,960032,1,,
2021-08-14,960031,0,,
2021-08-14,960030,0,,
2021-08-14,960028,0,,
2021-08-14,960024,0,,
2021-08-14,960023,1,,
2021-08-14,960019,0,,
2021-08-14,960017,1,,
2021-08-14,960014,1,,
2021-08-14,960013,1,,
2021-08-14,960004,0,,
2021-08-14,960001,1,,
2021-08-14,959999,0,,
2021-08-14,959997,0,,
2021-08-14,959995,0,,
2021-08-14,959994,1,,
2021-08-14,959993,1,,
2021-08-14,959992,0,,
2021-08-14,959990,1,,
2021-08-14,959988,1,,
2021-08-14,959987,0,,
2021-08-14,959985,0,,
2021-08-14,959983,1,,
2021-08-14,959982,1,,
2021-08-14,959981,0,,
2021-08-14,960366,0,31.3,79300207885182548371628961020
2021-08-14,960176,1,36.74,1884941826459359631628943598
2021-08-14,960384,0,68.23,23104109748499262941628963995
2021-08-14,960237,1,52.79,6264720575016307551628946726
2021-08-14,960002,0,6.81,68777225121561040861628918428
2021-08-14,960221,1,42.64,92158153441741194351628944912
2021-08-14,960324,1,61.97,11498233229786961731628955155
2021-08-14,960233,0,39.41,30682090130767717131628947440
2021-08-14,960205,1,19.83,47618589588554814581628946028
2021-08-14,960240,1,102.28,48026032262263559241628948531
2021-08-14,960406,1,22.46,83269739882757341871628968989
2021-08-14,960033,0,175.19,22114230511024852721628926018
2021-08-14,960316,0,94.18,26950454310133881521628954192
2021-08-14,960370,1,38.39,4923859315945511031628958883
2021-08-14,960183,1,106.65,54078183808599890681628943085
2021-08-14,960437,1,17.42,54079224908582867111628973007
2021-08-14,960186,1,49.16,139239343433496526201628944355
2021-08-14,960114,1,148.71,74272187468076727331628936672
2021-08-14,960282,0,41.81,80240821614345756151628951800
2021-08-14,960216,0,144.48,17781747104633677651628945790
2021-08-14,960011,0,70.96,78737126677560197971628921206
2021-08-14,960412,1,78.73,52145885967735392211628964552
2021-08-14,960064,0,88.66,72668127649448278031628927029
2021-08-14,960375,1,67.9,63698493939782457141628962387
2021-08-14,960027,1,117.61,69252338827689918681628923118
2021-08-14,960168,1,40.86,784563324337322671628943024
2021-08-14,960296,1,126.03,90424954178446377081628953105
2021-08-14,960269,1,68.43,180830282612798435721628947995
2021-08-14,960189,0,170.63,21745770806987442651628944557
2021-08-14,960405,1,50.17,30808107520659308671628969186
