date_date,orders_id,products_id,turnover,qty
2021-04-01,825419,110568,1.98,1
2021-04-01,825419,111014,3.23,1
2021-04-01,825419,116181,3.67,2
2021-04-01,825419,117221,1.21,1
2021-04-01,825419,118891,2.69,1
2021-04-01,825419,121460,1.84,2
2021-04-01,825419,122091,2.5,1
2021-04-01,825419,122403,3.25,1
2021-04-01,825420,2339,5.07,1
2021-04-01,825420,79735,3.49,1
2021-04-01,825420,85734,5.07,1
2021-04-01,825420,88981,22.76,1
2021-04-01,825420,109212,5.69,1
2021-04-01,825420,117784,6.54,1
2021-04-01,825420,120088,50.14,1
2021-04-01,825420,121111,13.04,1
2021-04-01,825421,47527,13.93,1
2021-04-01,825421,110719,3.95,1
2021-04-01,825421,110860,9.19,3
2021-04-01,825421,120781,9.21,2
2021-04-01,825422,79107,9.88,3
2021-04-01,825423,4243,6.18,2
2021-04-01,825423,4261,9.1,3
2021-04-01,825423,14024,2.58,1
2021-04-01,825423,17133,5.07,3
2021-04-01,825423,17139,4.7,3
2021-04-01,825423,20021,3.71,1
2021-04-01,825423,20949,3.62,2
2021-04-01,825423,43241,11.73,4
2021-04-01,825423,47010,2.56,1
2021-04-01,825423,68791,2.82,1
2021-04-01,825423,71083,3.86,1
2021-04-01,825423,80030,2.38,1
2021-04-01,825423,80046,2.64,1
2021-04-01,825423,80412,1.05,1
2021-04-01,825423,82754,10.28,1
2021-04-01,825423,83083,4.91,3
2021-04-01,825423,86787,1.87,1
2021-04-01,825423,86793,3.05,1
2021-04-01,825423,103865,3.2,1
2021-04-01,825423,106725,11.26,4
2021-04-01,825423,107931,4.29,1
2021-04-01,825423,117593,2.84,2
2021-04-01,825423,117601,2.84,2
2021-04-01,825423,118206,7.14,3
2021-04-01,825423,118915,3.1,1
2021-04-01,825423,119256,2.09,1
2021-04-01,825423,120473,16.47,4
2021-04-01,825423,121475,0.86,1
2021-04-01,825423,122254,3.81,1
2021-04-01,825424,8871,8.09,1
2021-04-01,825424,70241,5.66,1
2021-04-01,825424,76035,12.53,4
2021-04-01,825424,76584,1.83,1
2021-04-01,825424,77253,3.24,2
2021-04-01,825424,77426,3.51,1
2021-04-01,825424,78069,9.94,1
2021-04-01,825424,107070,7.93,1
2021-04-01,825424,109309,9.2,1
2021-04-01,825424,120390,4.06,1
2021-04-01,825425,45663,17.38,1
2021-04-01,825425,78759,9.14,2
2021-04-01,825425,79485,20.1,2
2021-04-01,825425,98698,9.5,1
2021-04-01,825426,2791,2.98,1
2021-04-01,825426,77708,2.55,1
2021-04-01,825426,90788,2.63,1
2021-04-01,825426,103829,18.29,1
2021-04-01,825426,109176,4.95,1
2021-04-01,825426,110383,15.96,5
2021-04-01,825426,116159,16.47,1
2021-04-01,825427,5061,2.04,1
2021-04-01,825427,26147,2.05,1
2021-04-01,825427,29762,12.79,2
2021-04-01,825427,44451,3.95,1
2021-04-01,825427,44459,7.91,2
2021-04-01,825427,44465,3.4,1
2021-04-01,825427,44469,3.63,1
2021-04-01,825427,45058,18.75,2
2021-04-01,825427,68232,12.94,2
2021-04-01,825427,70558,14.6,1
2021-04-01,825427,76570,3.88,2
2021-04-01,825427,77545,1.54,1
2021-04-01,825427,77666,7.0,1
2021-04-01,825427,78855,20.01,6
2021-04-01,825427,79355,19.74,3
2021-04-01,825427,80040,3.43,1
2021-04-01,825427,80043,3.81,1
2021-04-01,825427,80297,4.45,1
2021-04-01,825427,80578,14.39,1
2021-04-01,825427,84574,2.26,1
2021-04-01,825427,84575,2.55,1
2021-04-01,825427,87318,21.35,2
2021-04-01,825427,88216,23.12,3
2021-04-01,825427,90004,10.39,1
2021-04-01,825427,93037,4.67,1
2021-04-01,825427,93039,8.63,2
2021-04-01,825427,95731,2.36,1
2021-04-01,825427,98865,15.82,2
2021-04-01,825427,100248,30.07,4
2021-04-01,825427,100323,3.43,1
2021-04-01,825427,102563,2.04,1
2021-04-01,825427,102576,2.04,1
2021-04-01,825427,102592,2.9,1
2021-04-01,825427,102598,3.14,1
2021-04-01,825427,109275,14.96,6
2021-04-01,825427,109993,9.0,1
2021-04-01,825427,117949,8.37,2
2021-04-01,825427,118566,2.63,1
2021-04-01,825427,119280,14.71,4
2021-04-01,825427,120010,7.24,1
2021-04-01,825427,120825,11.12,1
2021-04-01,825427,122374,6.77,1
2021-04-01,825427,122788,3.96,1
2021-04-01,825428,16240,4.83,1
2021-04-01,825428,26446,2.32,1
2021-04-01,825428,29320,5.92,1
2021-04-01,825428,86316,3.74,1
2021-04-01,825428,86523,1.7,1
2021-04-01,825428,105301,4.57,1
2021-04-01,825428,110689,1.85,1
2021-04-01,825428,114876,3.78,2
2021-04-01,825428,121928,6.65,3
2021-04-01,825429,17609,10.54,1
2021-04-01,825429,47867,21.5,1
2021-04-01,825429,70187,3.86,1
2021-04-01,825429,85839,4.83,2
2021-04-01,825429,109830,1.71,1
2021-04-01,825429,109833,1.71,1
2021-04-01,825429,111965,2.67,1
2021-04-01,825429,112194,2.12,1
2021-04-01,825430,79405,200.53,12
2021-04-01,825432,5608,3.64,1
2021-04-01,825432,9516,2.79,1
2021-04-01,825432,12639,6.45,2
2021-04-01,825432,20053,6.65,2
2021-04-01,825432,26727,3.84,1
2021-04-01,825432,48632,3.79,1
2021-04-01,825432,71744,1.95,1
2021-04-01,825432,72669,12.32,2
2021-04-01,825432,78401,7.38,1
2021-04-01,825432,78804,1.78,1
2021-04-01,825432,79780,2.91,1
2021-04-01,825432,92613,4.04,1
2021-04-01,825432,100323,2.91,1
2021-04-01,825432,100564,13.93,4
2021-04-01,825433,71898,8.13,3
2021-04-01,825433,81082,2.32,1
2021-04-01,825433,81094,3.58,1
2021-04-01,825433,81139,4.02,1
2021-04-01,825433,86781,77.87,11
2021-04-01,825433,111664,12.3,2
2021-04-01,825434,4335,4.48,1
2021-04-01,825434,4338,4.67,1
2021-04-01,825434,4339,4.43,1
2021-04-01,825434,4340,4.48,1
2021-04-01,825434,8698,6.3,2
2021-04-01,825434,11067,2.38,1
2021-04-01,825434,11069,4.71,2
2021-04-01,825434,41030,5.67,2
2021-04-01,825434,41979,2.83,1
2021-04-01,825434,41981,2.99,1
2021-04-01,825434,41991,3.28,1
2021-04-01,825434,44824,1.99,1
2021-04-01,825434,44825,2.44,1
2021-04-01,825434,46900,4.18,2
2021-04-01,825434,46903,5.97,3
2021-04-01,825434,69322,6.87,2
2021-04-01,825434,79426,3.36,1
2021-04-01,825434,79430,4.42,2
2021-04-01,825434,99037,4.72,2
2021-04-01,825435,90476,28.11,3
2021-04-01,825435,92140,4.49,1
2021-04-01,825435,92143,4.75,1
2021-04-01,825435,101105,67.16,2
2021-04-01,825435,110515,4.61,2
2021-04-01,825435,119286,9.07,3
2021-04-01,825436,5710,23.75,8
2021-04-01,825436,12917,3.65,1
2021-04-01,825436,21616,5.48,1
2021-04-01,825436,80578,14.39,1
2021-04-01,825436,83646,8.53,3
2021-04-01,825436,89930,21.18,5
2021-04-01,825436,104595,4.18,1
2021-04-01,825437,8675,9.49,1
2021-04-01,825437,15634,4.99,1
2021-04-01,825437,28590,6.52,1
2021-04-01,825437,46955,8.9,1
2021-04-01,825437,47867,21.5,1
2021-04-01,825437,72080,5.94,1
2021-04-01,825437,76609,3.34,1
2021-04-01,825437,88520,8.18,4
2021-04-01,825437,91260,11.92,1
2021-04-01,825437,115758,3.13,3
2021-04-01,825438,103246,8.0,1
2021-04-01,825438,110282,6.06,1
2021-04-01,825438,110849,9.62,1
2021-04-01,825438,116771,4.85,1
2021-04-01,825438,118351,5.41,1
2021-04-01,825438,122325,5.62,1
2021-04-01,825438,122595,8.0,1
2021-04-01,825440,5860,20.59,10
2021-04-01,825440,9482,2.9,1
2021-04-01,825440,9546,3.09,1
2021-04-01,825440,21520,24.17,10
2021-04-01,825440,81501,14.8,2
2021-04-01,825440,82206,15.69,10
2021-04-01,825440,87231,14.78,10
2021-04-01,825440,93990,1.81,1
2021-04-01,825440,121549,2.44,1
2021-04-01,825440,121595,1.55,1
2021-04-01,825441,103826,104.64,8
2021-04-01,825442,100396,5.23,3
2021-04-01,825442,110398,32.27,15
2021-04-01,825443,89564,1.98,1
2021-04-01,825443,89578,2.25,1
2021-04-01,825443,102946,10.99,1
2021-04-01,825443,109628,9.42,1
2021-04-01,825443,120566,2.6,1
2021-04-01,825443,120568,2.6,1
2021-04-01,825443,121669,2.31,1
2021-04-01,825443,121674,1.77,1
2021-04-01,825443,121676,2.48,1
2021-04-01,825444,5537,5.07,2
2021-04-01,825444,8857,3.53,1
2021-04-01,825444,11992,0.32,1
2021-04-01,825444,24076,6.07,1
2021-04-01,825444,42190,2.76,1
2021-04-01,825444,42198,3.55,1
2021-04-01,825444,46913,6.33,1
2021-04-01,825444,47514,6.31,1
2021-04-01,825444,71402,3.94,1
2021-04-01,825444,71414,4.68,1
2021-04-01,825444,71760,2.89,1
2021-04-01,825444,71775,6.55,1
2021-04-01,825444,71840,2.92,1
2021-04-01,825444,71841,2.92,1
2021-04-01,825444,81173,5.04,2
2021-04-01,825444,81178,5.29,2
2021-04-01,825444,81191,5.29,2
2021-04-01,825444,86416,9.57,5
2021-04-01,825444,86470,7.4,5
2021-04-01,825444,114513,3.18,1
2021-04-01,825444,114962,34.82,1
2021-04-01,825444,120515,2.55,1
2021-04-01,825444,120516,2.65,1
2021-04-01,825445,9698,4.69,1
2021-04-01,825445,17632,3.27,1
2021-04-01,825445,46988,6.01,1
2021-04-01,825445,46989,6.09,1
2021-04-01,825445,49972,1.65,1
2021-04-01,825445,49975,3.3,2
