date_date,campaign_name,ads_cost
2021-04-06,FR - SHP - AB - Epicerie Sucrée,27
2021-04-06,FR - SHP - AB - Extérieur,2
2021-04-06,FR - SHP - AB - Maison - Smart,201
2021-04-06,FR - SHP - AB - Santé & Bien-être - Smart,101
2021-04-06,FR - SHP - AB - Top Marge - Smart,43
2021-04-06,FR - SHP - All Products,69
2021-04-06,FR - SHP - All Products - Smart,930
2021-04-06,FR - SHP - Couche - Smart,119
2021-04-06,FR - TXT - B - Marques,165
2021-04-06,FR - TXT - BN - Marque Greenweez,167
2021-04-06,FR - TXT - G - Générique Bio,60
2021-04-06,FR - TXT - GC - Génériques - Alimentation Bébé Bio,8
2021-04-06,FR - TXT - GC - Génériques - Beauté & Hygiène,20
2021-04-06,FR - TXT - GC - Génériques - Cuisine,55
2021-04-06,FR - TXT - GC - Génériques - Enfant,16
2021-04-06,FR - TXT - GC - Génériques - Entretien,95
2021-04-06,FR - TXT - GC - Génériques - Epicerie,50
2021-04-06,IA - COM - [ENG - ACQ] - Boost,59
2021-04-06,IA - COM - [PUR - ACQ],83
2021-04-06,IA - COM - [PUR - ACQ] - DABA,123
2021-04-06,IA - COM - [PUR - RT] - Clients Existants,59
2021-04-06,IA - COM - [PUR - RT] - DPA ex clients,104
2021-04-06,IA - COM - [PUR - RT] - Site & CRM,64
2021-04-06,criteo_audience_tv,22
2021-04-06,criteo_lower_funnel,65
2021-04-06,criteo_mid_funnel,10
2021-04-06,criteo_seg_occasionnels,22
2021-04-07,CH - SHP - All Products,20
2021-04-07,FR - DSA - Page Feed - Product,431
2021-04-07,FR - SHP - AB - Beaute & Hygiene - Smart,120
2021-04-07,FR - SHP - AB - Enfant,6
2021-04-07,FR - SHP - AB - Entretien,74
2021-04-07,FR - SHP - AB - Epicerie Salée,46
2021-04-07,FR - SHP - AB - Epicerie Sucrée,27
2021-04-07,FR - SHP - AB - Extérieur,2
2021-04-07,FR - SHP - AB - Maison - Smart,192
2021-04-07,FR - SHP - AB - Santé & Bien-être - Smart,130
2021-04-07,FR - SHP - AB - Top Marge - Smart,34
2021-04-07,FR - SHP - All Products,76
2021-04-07,FR - SHP - All Products - Smart,"1,010"
2021-04-07,FR - SHP - Couche - Smart,120
2021-04-07,FR - TXT - B - Marques,165
2021-04-07,FR - TXT - BN - Marque Greenweez,170
2021-04-07,FR - TXT - G - Générique Bio,59
2021-04-07,FR - TXT - GC - Génériques - Alimentation Bébé Bio,6
2021-04-07,FR - TXT - GC - Génériques - Beauté & Hygiène,28
2021-04-07,FR - TXT - GC - Génériques - Cuisine,59
2021-04-07,FR - TXT - GC - Génériques - Enfant,15
2021-04-07,FR - TXT - GC - Génériques - Entretien,101
2021-04-07,FR - TXT - GC - Génériques - Epicerie,70
2021-04-07,IA - COM - [ENG - ACQ] - Boost,56
2021-04-07,IA - COM - [PUR - ACQ],82
2021-04-07,IA - COM - [PUR - ACQ] - DABA,123
2021-04-07,IA - COM - [PUR - RT] - Clients Existants,58
2021-04-07,IA - COM - [PUR - RT] - DPA ex clients,102
2021-04-07,IA - COM - [PUR - RT] - Site & CRM,64
2021-04-07,IA - COM - [VID - ACQ],27
2021-04-07,criteo_audience_tv,11
2021-04-07,criteo_lower_funnel,38
2021-04-07,criteo_mid_funnel,9
2021-04-07,criteo_seg_occasionnels,17
2021-04-08,CH - SHP - All Products,15
2021-04-08,FR - DSA - Page Feed - Product,331
2021-04-08,FR - SHP - AB - Beaute & Hygiene - Smart,119
2021-04-08,FR - SHP - AB - Enfant,6
2021-04-08,FR - SHP - AB - Entretien,51
2021-04-08,FR - SHP - AB - Epicerie Salée,46
2021-04-08,FR - SHP - AB - Epicerie Sucrée,25
2021-04-08,FR - SHP - AB - Extérieur,1
2021-04-08,FR - SHP - AB - Maison - Smart,191
2021-04-08,FR - SHP - AB - Santé & Bien-être - Smart,125
2021-04-08,FR - SHP - AB - Top Marge - Smart,30
2021-04-08,FR - SHP - All Products,66
2021-04-08,FR - SHP - All Products - Smart,822
2021-04-08,FR - SHP - Couche - Smart,61
2021-04-08,FR - TXT - B - Marques,166
2021-04-08,FR - TXT - BN - Marque Greenweez,155
2021-04-08,FR - TXT - G - Générique Bio,93
2021-04-08,FR - TXT - GC - Génériques - Alimentation Bébé Bio,12
2021-04-08,FR - TXT - GC - Génériques - Beauté & Hygiène,27
2021-04-08,FR - TXT - GC - Génériques - Cuisine,72
2021-04-08,FR - TXT - GC - Génériques - Enfant,18
2021-04-08,FR - TXT - GC - Génériques - Entretien,67
2021-04-08,FR - TXT - GC - Génériques - Epicerie,41
2021-04-08,IA - COM - [ENG - ACQ] - Boost,57
2021-04-08,IA - COM - [PUR - ACQ],89
2021-04-08,IA - COM - [PUR - ACQ] - DABA,116
2021-04-08,IA - COM - [PUR - RT] - Clients Existants,62
2021-04-08,IA - COM - [PUR - RT] - DPA ex clients,94
2021-04-08,IA - COM - [PUR - RT] - Site & CRM,69
2021-04-08,IA - COM - [VID - ACQ],42
2021-04-08,criteo_audience_tv,19
2021-04-08,criteo_lower_funnel,34
2021-04-08,criteo_mid_funnel,8
2021-04-08,criteo_seg_occasionnels,13
2021-04-09,CH - SHP - All Products,14
2021-04-09,FR - DSA - Page Feed - Product,331
2021-04-09,FR - SHP - AB - Beaute & Hygiene - Smart,116
2021-04-09,FR - SHP - AB - Enfant,5
2021-04-09,FR - SHP - AB - Entretien,52
2021-04-09,FR - SHP - AB - Epicerie Salée,45
2021-04-09,FR - SHP - AB - Epicerie Sucrée,24
2021-04-09,FR - SHP - AB - Extérieur,1
2021-04-09,FR - SHP - AB - Maison - Smart,199
2021-04-09,FR - SHP - AB - Santé & Bien-être - Smart,150
2021-04-09,FR - SHP - AB - Top Marge - Smart,30
2021-04-09,FR - SHP - All Products,79
2021-04-09,FR - SHP - All Products - Smart,919
2021-04-09,FR - SHP - Couche - Smart,45
2021-04-09,FR - TXT - B - Marques,165
2021-04-09,FR - TXT - BN - Marque Greenweez,163
2021-04-09,FR - TXT - G - Générique Bio,93
2021-04-09,FR - TXT - GC - Génériques - Alimentation Bébé Bio,14
2021-04-09,FR - TXT - GC - Génériques - Beauté & Hygiène,27
2021-04-09,FR - TXT - GC - Génériques - Cuisine,72
2021-04-09,FR - TXT - GC - Génériques - Enfant,18
2021-04-09,FR - TXT - GC - Génériques - Entretien,46
2021-04-09,FR - TXT - GC - Génériques - Epicerie,30
2021-04-09,IA - COM - [ENG - ACQ] - Boost,59
2021-04-09,IA - COM - [PUR - ACQ],84
2021-04-09,IA - COM - [PUR - ACQ] - DABA,126
2021-04-09,IA - COM - [PUR - RT] - Clients Existants,60
2021-04-09,IA - COM - [PUR - RT] - DPA ex clients,109
2021-04-09,IA - COM - [PUR - RT] - Site & CRM,67
2021-04-09,IA - COM - [VID - ACQ],45
2021-04-09,criteo_audience_tv,36
2021-04-09,criteo_lower_funnel,30
2021-04-09,criteo_mid_funnel,13
2021-04-09,criteo_seg_occasionnels,12
2021-04-10,CH - SHP - All Products,16
2021-04-10,FR - DSA - Page Feed - Product,331
2021-04-10,FR - SHP - AB - Beaute & Hygiene - Smart,123
2021-04-10,FR - SHP - AB - Enfant,3
2021-04-10,FR - SHP - AB - Entretien,53
2021-04-10,FR - SHP - AB - Epicerie Salée,46
2021-04-10,FR - SHP - AB - Epicerie Sucrée,24
2021-04-10,FR - SHP - AB - Extérieur,1
2021-04-10,FR - SHP - AB - Maison - Smart,227
2021-04-10,FR - SHP - AB - Santé & Bien-être - Smart,161
2021-04-10,FR - SHP - AB - Top Marge - Smart,30
2021-04-10,FR - SHP - All Products,81
2021-04-10,FR - SHP - All Products - Smart,874
2021-04-10,FR - SHP - Couche - Smart,53
2021-04-10,FR - TXT - B - Marques,165
2021-04-10,FR - TXT - BN - Marque Greenweez,160
2021-04-10,FR - TXT - G - Générique Bio,118
2021-04-10,FR - TXT - GC - Génériques - Alimentation Bébé Bio,17
2021-04-10,FR - TXT - GC - Génériques - Beauté & Hygiène,26
2021-04-10,FR - TXT - GC - Génériques - Cuisine,68
2021-04-10,FR - TXT - GC - Génériques - Enfant,18
2021-04-10,FR - TXT - GC - Génériques - Entretien,45
2021-04-10,FR - TXT - GC - Génériques - Epicerie,30
2021-04-10,IA - COM - [ENG - ACQ] - Boost,60
2021-04-10,IA - COM - [PUR - ACQ],84
2021-04-10,IA - COM - [PUR - ACQ] - DABA,124
2021-04-10,IA - COM - [PUR - RT] - Clients Existants,59
2021-04-10,IA - COM - [PUR - RT] - DPA ex clients,107
2021-04-10,IA - COM - [PUR - RT] - Site & CRM,66
2021-04-10,IA - COM - [VID - ACQ],45
2021-04-10,criteo_audience_tv,59
2021-04-10,criteo_lower_funnel,33
2021-04-10,criteo_mid_funnel,21
2021-04-10,criteo_seg_occasionnels,11
2021-04-11,CH - SHP - All Products,24
2021-04-11,FR - DSA - Page Feed - Product,341
2021-04-11,FR - SHP - AB - Beaute & Hygiene - Smart,124
2021-04-11,FR - SHP - AB - Enfant,4
2021-04-11,FR - SHP - AB - Entretien,54
2021-04-11,FR - SHP - AB - Epicerie Salée,47
2021-04-11,FR - SHP - AB - Epicerie Sucrée,25
2021-04-11,FR - SHP - AB - Extérieur,2
